playerID,B_G,B_AB,B_R,B_H,B_2B,B_3B,B_HR,B_RBI,B_SB,B_CS,B_BB,B_SO,B_IBB,B_HBP,B_SH,B_SF,B_GIDP,P_playerID,P_W,P_L,P_G,P_GS,P_CG,P_SHO,P_SV,P_IPOuts,P_H,P_ER,P_HR,P_BB,P_SO,P_BAOpp,P_ERA,P_IBB,P_WP,P_HBP,P_BK,P_BFP,P_GF,P_R,P_SH,P_SF,P_GIDP,f_playerID,f_G,f_PO,f_A,f_E,f_DP,f_PB,f_WP,f_SB,f_CS,f_ZR,award_count,nomination_count,Classification
boutoji01,307.0,347.0,8.0,35.0,3.0,0.0,0.0,21.0,0.0,0.0,14,160.0,0.0,3.0,29.0,1.0,2.0,boutoji01,62.0,63.0,304.0,144.0,34.0,11.0,6.0,3716,1131.0,492.0,127,435.0,720.0,0.24727272727272728,3.980909130790017,27.0,38.0,23.0,4.0,5200.0,57.0,566.0,0.0,0.0,0.0,boutoji01,304.0,112.0,177.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,,1.0,0
boccajo01,551.0,1462.0,117.0,320.0,56.0,5.0,26.0,148.0,3.0,7.0,96,246.0,20.0,5.0,16.0,16.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,boccajo01,511.0,2477.0,243.0,31.0,126.0,24.0,78.0,126.0,85.0,1.0,,1.0,0
blairpa01,1947.0,6042.0,776.0,1513.0,282.0,55.0,134.0,620.0,171.0,93.0,449,877.0,23.0,23.0,108.0,51.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,blairpa01,1893.0,4347.0,115.0,57.0,27.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0
blassst01,295.0,546.0,42.0,94.0,7.0,3.0,1.0,37.0,0.0,0.0,11,140.0,0.0,0.0,40.0,3.0,6.0,blassst01,103.0,76.0,282.0,231.0,57.0,16.0,2.0,4792,1558.0,644.0,128,597.0,896.0,0.255,4.575,49.0,56.0,38.0,4.0,6780.0,14.0,739.0,0.0,0.0,0.0,blassst01,283.0,137.0,251.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,,1.0,0
briggjo02,1366.0,4117.0,601.0,1041.0,170.0,43.0,139.0,507.0,64.0,49.0,663,785.0,47.0,5.0,22.0,30.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,briggjo02,1213.0,3389.0,184.0,73.0,152.0,0.0,0.0,0.0,0.0,0.0,,1.0,0
brilene01,452.0,469.0,29.0,72.0,9.0,2.0,3.0,29.0,0.0,0.0,21,171.0,0.0,2.0,37.0,3.0,5.0,brilene01,129.0,112.0,452.0,279.0,64.0,17.0,22.0,6335,2141.0,807.0,186,547.0,1163.0,0.26333333333333336,3.85599996248881,79.0,50.0,51.0,5.0,8858.0,74.0,929.0,0.0,0.0,0.0,brilene01,452.0,131.0,263.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,,1.0,0
bondsbo01,1849.0,7043.0,1258.0,1886.0,302.0,66.0,332.0,1024.0,461.0,169.0,914,1757.0,75.0,53.0,16.0,64.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,bondsbo01,1736.0,3659.0,128.0,89.0,40.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0
bluevi01,508.0,512.0,37.0,53.0,9.0,0.0,4.0,15.0,0.0,2.0,49,271.0,0.0,3.0,53.0,1.0,2.0,bluevi01,209.0,161.0,502.0,473.0,143.0,37.0,2.0,10030,2939.0,1213.0,263,1185.0,2175.0,0.23176470588235293,3.5188235184725594,61.0,103.0,23.0,13.0,13837.0,11.0,1357.0,0.0,0.0,0.0,bluevi01,502.0,127.0,427.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0
blylebe01,699.0,451.0,19.0,59.0,7.0,0.0,0.0,25.0,0.0,0.0,5,193.0,0.0,2.0,56.0,0.0,4.0,blylebe01,287.0,250.0,692.0,685.0,242.0,60.0,0.0,14910,4632.0,1830.0,430,1322.0,3701.0,0.24458333333333337,3.4541666507720947,71.0,114.0,155.0,19.0,20491.0,3.0,2029.0,0.0,0.0,0.0,blylebe01,692.0,287.0,662.0,30.0,48.0,0.0,0.0,0.0,0.0,0.0,,14.0,1
bowala01,2247.0,8418.0,987.0,2191.0,262.0,99.0,15.0,525.0,318.0,105.0,474,569.0,45.0,17.0,151.0,43.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,bowala01,2227.0,3323.0,6864.0,211.0,1267.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0
boonebo01,2264.0,7245.0,679.0,1838.0,303.0,26.0,105.0,826.0,38.0,50.0,663,608.0,90.0,20.0,142.0,78.0,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,boonebo01,2240.0,11325.0,1185.0,183.0,155.0,97.0,613.0,1108.0,731.0,76.0,8.0,5.0,0
brettge01,2707.0,10349.0,1583.0,3154.0,665.0,137.0,317.0,1595.0,201.0,97.0,1096,908.0,229.0,33.0,26.0,120.0,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,brettge01,2200.0,5503.0,3984.0,292.0,674.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1
boddimi01,347.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,boddimi01,134.0,116.0,342.0,309.0,63.0,16.0,3.0,6371,2082.0,897.0,188,721.0,1330.0,0.25266666666666665,4.099999984105428,39.0,60.0,87.0,8.0,8999.0,15.0,992.0,0.0,0.0,0.0,boddimi01,342.0,245.0,366.0,32.0,37.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0
brookhu01,1645.0,5974.0,656.0,1608.0,290.0,31.0,149.0,824.0,64.0,56.0,387,1005.0,62.0,38.0,12.0,65.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,brookhu01,1489.0,1935.0,2031.0,196.0,287.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0
